platform,id,category,source_level,status,url,notes,youtube_id,official_episode_url,uploader,duration,subtitle_type
bilibili,BV1tuun6FEUz,official-intro,A-Platform,verify-account,https://www.bilibili.com/video/BV1tuun6FEUz/,"Andrew_Huberman账号欢迎视频；持续核验后续同步",,,,,
bilibili,BV1SfPCziEeM,adhd-focus,C,mirror-only,https://www.bilibili.com/video/BV1SfPCziEeM/,"约2小时16分；中文字幕；尚未完成唯一原始 Episode 回链",,,,,
bilibili,BV1eePpeXEMc,learning,C,mirror-only,https://www.bilibili.com/video/BV1eePpeXEMc/,"学习效率长视频；页面标注未经授权转载；尚未完成唯一原始 Episode 回链",,,,,
bilibili,BV1xh411a787,collection,C,mirror-only,https://www.bilibili.com/video/BV1xh411a787/,"43集早期合集；转载/自译",,,,,
bilibili,BV1a2421Z7Rb,learning-memory,C,linked-to-original,https://www.bilibili.com/video/BV1a2421Z7Rb/,"双语字幕；页面注明AI识别错误",ddq8JIMhz7c,https://www.hubermanlab.com/episode/optimal-protocols-for-studying-learning,英语播客党,49:45,zh-bilingual-ai
bilibili,BV1XRtjzoEo4,stress-sleep-focus,C,mirror-only,https://www.bilibili.com/video/BV1XRtjzoEo4/,"双语合集；页面回链 YouTube；需逐条回链",Ibj1k3IZTNU,https://www.hubermanlab.com/episode/how-to-control-your-cortisol-overcome-burnout,梨云的笔记本,02:16:16,zh-bilingual
bilibili,BV14dkGBQEWR,adhd-essentials,C,mirror-only,https://www.bilibili.com/video/BV14dkGBQEWR/,"附文稿；涉及处方药，必须医学核查；尚未完成唯一原始 Episode 回链",,,,,
bilibili,BV1aBEWzJE9i,introduction,C,mirror-only,https://www.bilibili.com/video/BV1aBEWzJE9i/,"YouTube精译/中文介绍；暂未确认唯一原视频",,,,,
bilibili,BV1NkRUBnEKo,sleep-learning-metabolism,C,linked-to-original,https://www.bilibili.com/video/BV1NkRUBnEKo/,"中配长视频；页面给出原始出处 YouTube q-H_A_dQUxQ；配音/字幕仍属于镜像层",q-H_A_dQUxQ,https://www.hubermanlab.com/episode/essentials-using-science-to-optimize-sleep-learning-metabolism,头号个体,,zh-dubbed
bilibili,BV1nk4y1A7zW,sleep,C,mirror-only,https://www.bilibili.com/video/BV1nk4y1A7zW/,"HubermanLab学习系列睡眠总结；汇编 Episode 2 与 Episode 84，非单一原始视频，待逐条回链",,,,,
bilibili,BV1vSPCzkEVX,productivity-health,C,mirror-only,https://www.bilibili.com/video/BV1vSPCzkEVX/,"每日工具中文长视频；涉及生产力、运动、饮食、激素与补剂，尚未确认唯一原始视频",,,,,
bilibili,BV1z7gPzXEob,focus-cognition,C,mirror-only,https://www.bilibili.com/video/BV1z7gPzXEob/,"Marc Berman 双语长视频；页面列出超过两小时的章节时间轴，尚未确认原始 YouTube ID",,,,,
bilibili,BV1Hf4y1r7NT,sleep,C,linked-to-original,https://www.bilibili.com/video/BV1Hf4y1r7NT/,"页面明确给出官方 Episode 2 与 YouTube nm1TxQj9IsQ；中文镜像字幕，不作为独立证据",nm1TxQj9IsQ,https://www.hubermanlab.com/episode/master-your-sleep-and-be-more-alert-when-awake,希尔伯特的玫瑰,01:22:05,zh-subtitle
bilibili,BV16mXCB9Ejm,light-circadian,C,linked-to-original,https://www.bilibili.com/video/BV16mXCB9Ejm/,"完整光照长视频；页面章节覆盖阳光、蓝光、红光与昼夜节律；对应官方 YouTube UF0nqolsNZc",UF0nqolsNZc,https://www.hubermanlab.com/episode/using-light-sunlight-blue-light-and-red-light-to-optimize-health,GPT中英字幕课程资源,02:23:43,zh-bilingual-ai
bilibili,BV1AakEBYEbd,brain-health-cognition,C,linked-to-original,https://www.bilibili.com/video/BV1AakEBYEbd/,"Mark D'Esposito 认知功能与脑健康长访谈；页面给出官方 YouTube HYVeP4F0GNU；药物/疾病内容需医学核查",HYVeP4F0GNU,https://www.hubermanlab.com/episode/dr-mark-desposito-how-to-optimize-cognitive-function-brain-health,hubermanlab,02:30:16,zh-subtitle
bilibili,BV1ad6EYUEfb,motivation-decisions,C,linked-to-original,https://www.bilibili.com/video/BV1ad6EYUEfb/,"Jordan Peterson 长访谈；页面给出官方 YouTube K0hkhbGYaGQ；嘉宾观点与 Huberman 主张分层",K0hkhbGYaGQ,https://www.hubermanlab.com/episode/dr-jordan-peterson-how-to-best-guide-your-life-decisions-path,肥嘟嘟左卫门的笔记本,03:51:11,zh-bilingual
bilibili,BV1aXCAYjE9h,purpose-relationships,C,linked-to-original,https://www.bilibili.com/video/BV1aXCAYjE9h/,"Robert Greene 长访谈；页面给出官方 YouTube 50BZQRT1dAg；涉及人生使命、关系与社会互动",50BZQRT1dAg,https://www.hubermanlab.com/episode/robert-greene-a-process-for-finding-achieving-your-unique-purpose,肥嘟嘟左卫门的笔记本,03:11:18,zh-bilingual
